id,user_id,dept_id,site_id,cat_id,root_cause,type,severity_level,status,media_status,details,loc_lat,loc_long,loc_geohash,occurred_at,created_at,resolved_at,escalated_at,who_resolved,who_escalated,resolved_by_admin,is_deleted,preventative_actions,hour_of_day,day_of_week,month,days_since_occurred
15694a0a-1b4f-4f65-8952-69188a9e9ab2,4842b65a-dc62-40a3-afd1-fbbb416f9ca1,DEPT-018,SITE-002,Chemical Exposure,Poor Housekeeping,injury,low,Pending,yes,City serious choose modern impact hope its production.,-0.879620,-164.285041,e06h06n,2026-02-22T13:03:49.246119,2026-02-22T13:03:49.246119,,,,,False,False,,13,6,2,114
52220e99-3c87-47ba-aab5-23c41675b51d,9538ba14-c2af-4467-9bef-e2b7a8e8bb29,DEPT-011,SITE-005,Electrical Hazard,Poor Housekeeping,near_miss,medium,Resolved,no,Hour fish authority fill use he surface knowledge gas item space.,-41.468893,54.153068,yb23vmt,2025-03-14T13:03:49.246119,2025-03-14T13:03:49.246119,2025-03-15T17:03:49.246119,,6d0e66d4-0099-4096-ae53-1b31dc9a9713,,False,False,Can source their sister real first.,13,4,3,459
12f31207-4ba4-4182-8978-a2751611138c,40a52b83-7dc4-4e76-af42-109d8beebfb1,DEPT-003,SITE-001,Ergonomics,Inadequate Training,property_damage,high,Resolved,success,Window government option its campaign which southern practice machine fall hospital course bring rich star help.,-68.458883,-175.523496,szvvdfu,2026-02-09T13:03:49.246119,2026-02-09T13:03:49.246119,2026-02-10T19:03:49.246119,,5c2d6cbc-1841-4b3f-98d0-a5d4342ca940,,True,False,Role cultural important attorney exist interesting phone five career join off.,13,0,2,127
a312c31b-fb03-43d5-be06-1f05c1ea8d3d,9346f07e-e37a-4554-a337-931982b56795,DEPT-006,SITE-009,Chemical Exposure,Poor Housekeeping,incident,high,Resolved,success,Resource guess bank serve politics pretty hair tough attack significant region ball scientist history value a.,49.013308,-1.585578,5dznjpu,2025-11-14T13:03:49.246119,2025-11-14T13:03:49.246119,2025-11-15T21:03:49.246119,,feeeaf62-2eb6-49dd-91c8-93c9f59317fb,,False,False,Though agency TV answer return choice might bill.,13,4,11,214
53a1239e-f42c-4097-9d65-aea55e1d5176,7c49c4cd-8524-4618-9977-4a3400e721c2,DEPT-016,SITE-007,Ergonomics,Equipment Malfunction,near_miss,high,Resolved,no,Others voice stage loss benefit lead focus civil consider measure.,-70.253828,13.462558,44rjrek,2026-05-15T13:03:49.246119,2026-05-15T13:03:49.246119,2026-05-18T00:03:49.246119,,64cc884a-74b4-4ebf-a466-4140271c88d1,,False,False,Buy final prevent million certain heavy full year out space.,13,4,5,32
9cb98393-83f8-4c29-b186-6d6b30e57180,203af202-be55-407b-97b6-e3a3f1abc870,DEPT-014,SITE-010,Electrical Hazard,Poor Housekeeping,near_miss,medium,Resolved,success,Manager series security house month sense new know himself line.,11.119941,153.086641,dzhzv0r,2025-01-11T13:03:49.246119,2025-01-11T13:03:49.246119,2025-01-13T15:03:49.246119,,cab74b66-c8b5-4e52-bf2a-2ef27a836a35,,False,False,West site analysis nature source of term maybe data simple.,13,5,1,521
1ddcf7c9-a0b5-4600-99c4-b458f4b229c2,ccfcaf46-c1d5-40db-922b-7db790ea9758,DEPT-009,SITE-009,Electrical Hazard,Equipment Malfunction,property_damage,high,Resolved,yes,Since unit near sister ok morning station me physical blue.,57.891440,129.375135,h3nuh6c,2025-09-16T13:03:49.246119,2025-09-16T13:03:49.246119,2025-09-17T12:03:49.246119,,accdb89d-9406-4f81-83b2-fb1f4483dadc,,True,False,Ten nature music early single according site them house in education.,13,1,9,273
96ec2337-9b80-4774-8fb0-d79deb9448bd,7ebfc953-516a-4c11-8959-bef7a4ab309a,DEPT-010,SITE-004,Chemical Exposure,Communication Failure,observation,medium,Resolved,no,Production statement why behind age provide behavior go road floor.,85.441940,-99.743435,wy2g2ss,2024-12-20T13:03:49.246119,2024-12-20T13:03:49.246119,2024-12-21T20:03:49.246119,,56664386-29a2-441c-b1f5-e1dc8c4df68f,,True,False,Really building establish stand start if goal subject day glass cause sense market.,13,4,12,543
febc39a9-40eb-4d12-829c-20265b9098bc,ae9f012f-931b-4d2f-a5a6-e84b20109496,DEPT-007,SITE-005,Slip and Fall,Communication Failure,unsafe_condition,low,Resolved,yes,Say memory form baby still hotel between clear art last take cut front cover.,-65.685787,-30.227806,fh37bk7,2024-12-01T13:03:49.246119,2024-12-01T13:03:49.246119,2024-12-03T13:03:49.246119,,97c6e615-9a5a-463d-bdc7-b6482882608f,,True,False,Organization plan pull various positive thus hold generation.,13,6,12,562
8178a2ee-4a40-40a8-a476-532d0a76ac65,ff965f10-8555-4623-8847-6b123c59b8f1,DEPT-008,SITE-005,Ergonomics,Human Error,unsafe_act,medium,Resolved,success,Doctor computer Republican manager culture decision issue democratic send event.,-50.009582,-77.757261,64xkgtt,2024-06-22T13:03:49.246119,2024-06-22T13:03:49.246119,2024-06-25T04:03:49.246119,,578cf385-36f7-4d75-9ca2-bb41cd29c822,,True,False,Job school little media name likely financial their model various rate beyond.,13,5,6,724
f4c7f132-58fc-41ff-8383-52149ae8f002,61e53e20-ce03-45c7-9ad3-bfdbea39227c,DEPT-004,SITE-001,Fire Safety,Poor Housekeeping,unsafe_act,medium,Resolved,no,Thousand experience hit wear whole four effort.,84.434520,-44.348453,t36j45f,2024-08-11T13:03:49.246119,2024-08-11T13:03:49.246119,2024-08-13T09:03:49.246119,,027bb482-4be4-4776-830e-a1868649d1d4,,False,False,Rate wall particularly matter middle professional writer few.,13,6,8,674
f009e270-2757-47b5-9e86-85bc726df79e,b56f5d3c-1677-4df2-9ba4-5cec20130930,DEPT-008,SITE-003,Fire Safety,Communication Failure,unsafe_act,high,Escalated,no,Personal on practice everything there in theory magazine hope.,45.564658,-170.803155,gvw50dx,2025-03-20T13:03:49.246119,2025-03-20T13:03:49.246119,,2025-03-20T21:03:49.246119,,9f118a0f-c333-4f62-96c5-2bd129c963d3,False,False,,13,3,3,453
942ae748-26be-4285-a104-2e5ddb036120,7ebfc953-516a-4c11-8959-bef7a4ab309a,DEPT-010,SITE-004,Environmental,Human Error,incident,high,Resolved,success,Past something we get end reflect sign allow.,-44.586872,-117.528779,1b1gxh1,2025-04-09T13:03:49.246119,2025-04-09T13:03:49.246119,2025-04-12T11:03:49.246119,,d0202da6-9717-4bdb-acef-7d1c4673039c,,False,False,Role board support yes whose establish hope indicate none.,13,2,4,433
de4f568b-9981-4afa-8714-99b2722671a2,2883dd47-2855-445d-9b22-95dcbac81444,DEPT-019,SITE-004,Security Breach,Human Error,observation,low,Pending,success,Hotel meet listen top administration east push drug something face sometimes.,-68.651892,-57.700505,mmekhx6,2025-12-08T13:03:49.246119,2025-12-08T13:03:49.246119,,,,,False,False,,13,0,12,190
398de074-2b85-41ea-ae70-8f4f07ec2b16,ea157396-e8e0-43f9-b146-4a31e19fd3cf,DEPT-003,SITE-001,Ergonomics,Communication Failure,near_miss,medium,Resolved,no,After special hand purpose life society up effect.,88.906082,-92.711551,268xwwc,2025-09-18T13:03:49.246119,2025-09-18T13:03:49.246119,2025-09-19T02:03:49.246119,,9e92cd71-6bed-4234-be0b-8a89c3c1326d,,True,False,Local foot down newspaper different contain.,13,3,9,271
6eb16ef9-5d72-4468-86b1-83aeb802eedd,40a52b83-7dc4-4e76-af42-109d8beebfb1,DEPT-018,SITE-005,Fire Safety,Poor Housekeeping,observation,medium,Resolved,failed,Sell foreign music allow happy middle idea however population produce herself decision set friend.,-61.119980,29.933305,y433j8m,2024-12-07T13:03:49.246119,2024-12-07T13:03:49.246119,2024-12-08T03:03:49.246119,,fa61f09a-8609-4db9-8d02-b8262fea1e30,,False,False,Hold business space miss thus see sound guy hard network institution civil.,13,5,12,556
9ab2d879-6337-43c8-8460-8fb89519791f,274e4c05-d57e-4c8a-9e82-5dc5d6a75e11,DEPT-014,SITE-005,Fire Safety,Human Error,near_miss,medium,Resolved,no,Bank record small give maintain building follow follow reality believe involve.,0.846632,-129.699384,b4z5fqj,2024-07-13T13:03:49.246119,2024-07-13T13:03:49.246119,2024-07-13T14:03:49.246119,,02d9cf20-a2cb-4f28-aa30-12ca7138b601,,True,False,Guess feeling manager discover learn medical write here artist responsibility address.,13,5,7,703
8fdde161-cb02-456a-808f-cd1aac40ddc5,cfd13550-f702-40e2-93c6-1bd608a55769,DEPT-002,SITE-005,Electrical Hazard,Equipment Malfunction,injury,high,Escalated,success,Budget Congress wide word drug short way right sign meet.,58.583682,-152.712946,w673swe,2026-01-15T13:03:49.246119,2026-01-15T13:03:49.246119,,2026-01-15T14:03:49.246119,,0247ccf8-a51d-44f6-9095-db56fd11a158,False,False,,13,3,1,152
7b734c1e-7478-4d7b-b149-ef3d3b567adc,ff965f10-8555-4623-8847-6b123c59b8f1,DEPT-011,SITE-007,Security Breach,Human Error,near_miss,high,Escalated,success,Simple per admit treat administration offer central.,-23.536003,-63.680637,t8t3vv7,2025-10-17T13:03:49.246119,2025-10-17T13:03:49.246119,,2025-10-18T01:03:49.246119,,add16e11-2a90-42ff-8896-f584375307b0,False,False,,13,4,10,242
31980ee7-1db0-4d54-ae7a-c770750eb18d,01598568-f23f-4d1d-ab43-946371cc1637,DEPT-013,SITE-006,Fire Safety,Poor Housekeeping,unsafe_condition,medium,Resolved,no,Form lead class moment on indicate ready million medical successful newspaper follow arm.,-9.635100,91.658966,y8ndzjy,2025-06-23T13:03:49.246119,2025-06-23T13:03:49.246119,2025-06-23T22:03:49.246119,,ad7d0877-558c-4f7a-8a38-71d8b10df6b1,,True,False,Customer indicate point cover behind store beyond somebody space seven trouble.,13,0,6,358
162b3496-0e65-4fad-bce2-f8d1e26eb10a,031e8a98-9990-4583-b1bc-fb59d9735f60,DEPT-011,SITE-007,Security Breach,Equipment Malfunction,incident,medium,Escalated,no,Catch structure understand ahead fact Mrs try participant article machine choose crime.,71.333342,44.230422,3w61eht,2025-12-16T13:03:49.246119,2025-12-16T13:03:49.246119,,2025-12-16T22:03:49.246119,,43bac47d-cdf2-4615-a765-27470a123c5c,False,False,,13,1,12,182
